query,model_name,performance,embedding_id
Where is {config} stored?,fast,0.8911,30
Where is {config} stored?,balanced,0.7391,30
Where is {config} stored?,powerful,0.6674,30
Does main.py exist?,fast,0.8845,45
Does main.py exist?,balanced,0.7196,45
Does main.py exist?,powerful,0.6614,45
What is ORM?,fast,0.9708,40
What is ORM?,balanced,0.8404,40
What is ORM?,powerful,0.5023,40
Should I commit these changes?,fast,0.9798,9
Should I commit these changes?,balanced,0.8494,9
Should I commit these changes?,powerful,0.5183,9
Show the last commit message,fast,0.9158,16
Show the last commit message,balanced,0.7199,16
Show the last commit message,powerful,0.5873,16
What agents are available?,fast,0.9643,10
What agents are available?,balanced,0.7554,10
What agents are available?,powerful,0.5394,10
List available tools,fast,0.9206,46
List available tools,balanced,0.7454,46
List available tools,powerful,0.746,46
What commands are available?,fast,0.935,47
What commands are available?,balanced,0.7012,47
What commands are available?,powerful,0.7043,47
Show stash list,fast,0.9711,26
Show stash list,balanced,0.7155,26
Show stash list,powerful,0.7195,26
Show git diff,fast,0.865,7
Show git diff,balanced,0.7161,7
Show git diff,powerful,0.6383,7
What files changed?,fast,0.8866,5
What files changed?,balanced,0.7316,5
What files changed?,powerful,0.5857,5
Is Redis available?,fast,0.9325,14
Is Redis available?,balanced,0.7396,14
Is Redis available?,powerful,0.6221,14
"Thanks, that's all",fast,0.9681,48
"Thanks, that's all",balanced,0.7076,48
"Thanks, that's all",powerful,0.6586,48
List available tools,fast,0.886,46
List available tools,balanced,0.7005,46
List available tools,powerful,0.6928,46
Is this a breaking change?,fast,0.9774,0
Is this a breaking change?,balanced,0.7242,0
Is this a breaking change?,powerful,0.6105,0
What's 42 + 25?,fast,0.8513,49
What's 42 + 25?,balanced,0.7113,49
What's 42 + 25?,powerful,0.7208,49
"Thanks, that's all",fast,0.8694,48
"Thanks, that's all",balanced,0.7054,48
"Thanks, that's all",powerful,0.5923,48
What version of pandas is installed?,fast,0.9059,50
What version of pandas is installed?,balanced,0.7063,50
What version of pandas is installed?,powerful,0.5912,50
Okay,fast,0.9535,8
Okay,balanced,0.8291,8
Okay,powerful,0.7247,8
Show the last commit message,fast,0.9387,16
Show the last commit message,balanced,0.8,16
Show the last commit message,powerful,0.5884,16
What version of sqlalchemy is installed?,fast,0.9766,41
What version of sqlalchemy is installed?,balanced,0.8124,41
What version of sqlalchemy is installed?,powerful,0.7314,41
List all branches,fast,0.9624,51
List all branches,balanced,0.8464,51
List all branches,powerful,0.7027,51
"No, cancel that",fast,0.9036,52
"No, cancel that",balanced,0.7269,52
"No, cancel that",powerful,0.7311,52
/tools,fast,0.971,20
/tools,balanced,0.8203,20
/tools,powerful,0.716,20
What commands are available?,fast,0.8823,47
What commands are available?,balanced,0.7239,47
What commands are available?,powerful,0.6753,47
Read agents.yaml,fast,0.9616,39
Read agents.yaml,balanced,0.7334,39
Read agents.yaml,powerful,0.7041,39
What is ORM?,fast,0.8897,40
What is ORM?,balanced,0.8193,40
What is ORM?,powerful,0.5569,40
Is postgres running?,fast,0.9018,31
Is postgres running?,balanced,0.7418,31
Is postgres running?,powerful,0.5174,31
/status,fast,0.8863,53
/status,balanced,0.7962,53
/status,powerful,0.5999,53
List available tools,fast,0.9197,46
List available tools,balanced,0.8409,46
List available tools,powerful,0.5288,46
Show git diff,fast,0.8732,7
Show git diff,balanced,0.8444,7
Show git diff,powerful,0.5664,7
Show system status,fast,0.9276,23
Show system status,balanced,0.7519,23
Show system status,powerful,0.6966,23
Is docker-compose.yml writable?,fast,0.978,54
Is docker-compose.yml writable?,balanced,0.7173,54
Is docker-compose.yml writable?,powerful,0.7249,54
List recent commits,fast,0.8831,35
List recent commits,balanced,0.8063,35
List recent commits,powerful,0.5004,35
Okay,fast,0.9548,8
Okay,balanced,0.803,8
Okay,powerful,0.7351,8
How many requests in kilobytes?,fast,0.8973,55
How many requests in kilobytes?,balanced,0.7105,55
How many requests in kilobytes?,powerful,0.6661,55
What's in the docs folder?,fast,0.8908,56
What's in the docs folder?,balanced,0.8272,56
What's in the docs folder?,powerful,0.6799,56
Show stash list,fast,0.9159,26
Show stash list,balanced,0.8,26
Show stash list,powerful,0.5815,26
Convert 1024 Celsius to GB,fast,0.8749,57
Convert 1024 Celsius to GB,balanced,0.7997,57
Convert 1024 Celsius to GB,powerful,0.5948,57
How many bytes in batch?,fast,0.924,58
How many bytes in batch?,balanced,0.7609,58
How many bytes in batch?,powerful,0.7084,58
Show stash list,fast,0.8873,26
Show stash list,balanced,0.7645,26
Show stash list,powerful,0.645,26
Are the tests passing?,fast,0.8919,4
Are the tests passing?,balanced,0.7663,4
Are the tests passing?,powerful,0.6689,4
What's the default value of cache_ttl?,fast,0.9532,59
What's the default value of cache_ttl?,balanced,0.844,59
What's the default value of cache_ttl?,powerful,0.684,59
Is the database connected?,fast,0.861,12
Is the database connected?,balanced,0.7773,12
Is the database connected?,powerful,0.6582,12
What's in the src folder?,fast,0.9564,60
What's in the src folder?,balanced,0.8127,60
What's in the src folder?,powerful,0.6682,60
Are there uncommitted changes?,fast,0.9549,3
Are there uncommitted changes?,balanced,0.7221,3
Are there uncommitted changes?,powerful,0.5116,3
Define circuit breaker,fast,0.9605,61
Define circuit breaker,balanced,0.7109,61
Define circuit breaker,powerful,0.6036,61
Is this a breaking change?,fast,0.9248,0
Is this a breaking change?,balanced,0.8078,0
Is this a breaking change?,powerful,0.596,0
What's the file size of main.py?,fast,0.8692,62
What's the file size of main.py?,balanced,0.8031,62
What's the file size of main.py?,powerful,0.7232,62
"Yes, proceed",fast,0.9501,37
"Yes, proceed",balanced,0.716,37
"Yes, proceed",powerful,0.6063,37
What branch am I on?,fast,0.9545,63
What branch am I on?,balanced,0.8044,63
What branch am I on?,powerful,0.6161,63
What version of pandas is installed?,fast,0.9693,50
What version of pandas is installed?,balanced,0.7182,50
What version of pandas is installed?,powerful,0.5333,50
What is generator?,fast,0.919,11
What is generator?,balanced,0.7838,11
What is generator?,powerful,0.5793,11
/help,fast,0.9659,19
/help,balanced,0.7919,19
/help,powerful,0.6798,19
What's the default value of cache_ttl?,fast,0.958,59
What's the default value of cache_ttl?,balanced,0.7822,59
What's the default value of cache_ttl?,powerful,0.7243,59
How many seconds in minutes?,fast,0.8837,64
How many seconds in minutes?,balanced,0.7371,64
How many seconds in minutes?,powerful,0.6594,64
/status,fast,0.9511,53
/status,balanced,0.7727,53
/status,powerful,0.5598,53
What does REST stand for?,fast,0.9428,65
What does REST stand for?,balanced,0.7352,65
What does REST stand for?,powerful,0.584,65
"Thanks, that's all",fast,0.9202,48
"Thanks, that's all",balanced,0.7208,48
"Thanks, that's all",powerful,0.5578,48
Convert 100 Celsius to GB,fast,0.8583,66
Convert 100 Celsius to GB,balanced,0.7611,66
Convert 100 Celsius to GB,powerful,0.6357,66
When was config.yaml last modified?,fast,0.8769,67
When was config.yaml last modified?,balanced,0.763,67
When was config.yaml last modified?,powerful,0.7262,67
Is {option} enabled?,fast,0.973,42
Is {option} enabled?,balanced,0.7029,42
Is {option} enabled?,powerful,0.7202,42
Can I use logging in Redis 7?,fast,0.8508,68
Can I use logging in Redis 7?,balanced,0.7528,68
Can I use logging in Redis 7?,powerful,0.6884,68
Confirm deployment to testing,fast,0.92,69
Confirm deployment to testing,balanced,0.8102,69
Confirm deployment to testing,powerful,0.7,69
"Thanks, that's all",fast,0.8787,48
"Thanks, that's all",balanced,0.7329,48
"Thanks, that's all",powerful,0.609,48
Is the web server running?,fast,0.8937,70
Is the web server running?,balanced,0.8019,70
Is the web server running?,powerful,0.6011,70
Show git status,fast,0.9593,22
Show git status,balanced,0.8379,22
Show git status,powerful,0.7452,22
What's the syntax for {command}?,fast,0.8535,71
What's the syntax for {command}?,balanced,0.7591,71
What's the syntax for {command}?,powerful,0.6411,71
Is supervisor running?,fast,0.9336,25
Is supervisor running?,balanced,0.7204,25
Is supervisor running?,powerful,0.6154,25
Check if task queue is healthy,fast,0.8993,72
Check if task queue is healthy,balanced,0.7317,72
Check if task queue is healthy,powerful,0.5817,72
/help,fast,0.9644,19
/help,balanced,0.7417,19
/help,powerful,0.7378,19
When was .env last modified?,fast,0.9585,73
When was .env last modified?,balanced,0.7705,73
When was .env last modified?,powerful,0.6873,73
Check if task queue is healthy,fast,0.8791,72
Check if task queue is healthy,balanced,0.7103,72
Check if task queue is healthy,powerful,0.7393,72
Show me the current users status,fast,0.9734,74
Show me the current users status,balanced,0.7299,74
Show me the current users status,powerful,0.5051,74
Are there any errors in the logs?,fast,0.881,75
Are there any errors in the logs?,balanced,0.771,75
Are there any errors in the logs?,powerful,0.5286,75
"Perfect, thanks",fast,0.8783,27
"Perfect, thanks",balanced,0.8049,27
"Perfect, thanks",powerful,0.6917,27
Show git status,fast,0.9288,22
Show git status,balanced,0.8446,22
Show git status,powerful,0.6796,22
/status,fast,0.9565,53
/status,balanced,0.8447,53
/status,powerful,0.527,53
Is nginx running?,fast,0.9249,76
Is nginx running?,balanced,0.8362,76
Is nginx running?,powerful,0.5938,76
"Perfect, thanks",fast,0.943,27
"Perfect, thanks",balanced,0.7114,27
"Perfect, thanks",powerful,0.6727,27
Is this a breaking change?,fast,0.8816,0
Is this a breaking change?,balanced,0.8046,0
Is this a breaking change?,powerful,0.5754,0
Is Redis available?,fast,0.9281,14
Is Redis available?,balanced,0.7182,14
Is Redis available?,powerful,0.746,14
/tools,fast,0.8553,20
/tools,balanced,0.7799,20
/tools,powerful,0.6654,20
What agents are available?,fast,0.9158,10
What agents are available?,balanced,0.7512,10
What agents are available?,powerful,0.7124,10
Show me the help menu,fast,0.9137,15
Show me the help menu,balanced,0.765,15
Show me the help menu,powerful,0.5905,15
"Thanks, that's all",fast,0.9577,48
"Thanks, that's all",balanced,0.8061,48
"Thanks, that's all",powerful,0.6089,48
Calculate 50% of 500,fast,0.8851,34
Calculate 50% of 500,balanced,0.8212,34
Calculate 50% of 500,powerful,0.6345,34
Define saga pattern,fast,0.9066,77
Define saga pattern,balanced,0.8097,77
Define saga pattern,powerful,0.5671,77
Confirm deployment to staging,fast,0.958,78
Confirm deployment to staging,balanced,0.713,78
Confirm deployment to staging,powerful,0.7204,78
List all branches,fast,0.9476,51
List all branches,balanced,0.7855,51
List all branches,powerful,0.667,51
What's in the src folder?,fast,0.9143,60
What's in the src folder?,balanced,0.7488,60
What's in the src folder?,powerful,0.6219,60
List files in ./services,fast,0.8942,79
List files in ./services,balanced,0.832,79
List files in ./services,powerful,0.6753,79
What files changed?,fast,0.9223,5
What files changed?,balanced,0.7775,5
What files changed?,powerful,0.5478,5
List all branches,fast,0.9436,51
List all branches,balanced,0.7733,51
List all branches,powerful,0.6895,51
Convert 1024 Celsius to Fahrenheit,fast,0.9138,80
Convert 1024 Celsius to Fahrenheit,balanced,0.8189,80
Convert 1024 Celsius to Fahrenheit,powerful,0.5233,80
Are there uncommitted changes?,fast,0.9026,3
Are there uncommitted changes?,balanced,0.7365,3
Are there uncommitted changes?,powerful,0.666,3
Show me Dockerfile,fast,0.922,81
Show me Dockerfile,balanced,0.7516,81
Show me Dockerfile,powerful,0.7492,81
What version of fastapi is installed?,fast,0.8957,82
What version of fastapi is installed?,balanced,0.7681,82
What version of fastapi is installed?,powerful,0.5767,82
Are there uncommitted changes?,fast,0.8657,3
Are there uncommitted changes?,balanced,0.7289,3
Are there uncommitted changes?,powerful,0.5299,3
What's the syntax for {command}?,fast,0.9736,71
What's the syntax for {command}?,balanced,0.8035,71
What's the syntax for {command}?,powerful,0.5479,71
How many seconds in minutes?,fast,0.9442,64
How many seconds in minutes?,balanced,0.8465,64
How many seconds in minutes?,powerful,0.6312,64
Is there anything to push?,fast,0.9775,83
Is there anything to push?,balanced,0.8249,83
Is there anything to push?,powerful,0.5741,83
Show me index.ts,fast,0.8893,18
Show me index.ts,balanced,0.8062,18
Show me index.ts,powerful,0.5316,18
Show me the current users status,fast,0.9219,74
Show me the current users status,balanced,0.8046,74
Show me the current users status,powerful,0.5316,74
"Yes, proceed",fast,0.9479,37
"Yes, proceed",balanced,0.7154,37
"Yes, proceed",powerful,0.5031,37
Is there anything to push?,fast,0.911,83
Is there anything to push?,balanced,0.7661,83
Is there anything to push?,powerful,0.5461,83
Check if task queue is healthy,fast,0.9723,72
Check if task queue is healthy,balanced,0.7717,72
Check if task queue is healthy,powerful,0.7055,72
What's the file size of package.json?,fast,0.8596,84
What's the file size of package.json?,balanced,0.7944,84
What's the file size of package.json?,powerful,0.5134,84
Are there any errors in the logs?,fast,0.9554,75
Are there any errors in the logs?,balanced,0.8424,75
Are there any errors in the logs?,powerful,0.5213,75
List all branches,fast,0.8654,51
List all branches,balanced,0.8147,51
List all branches,powerful,0.6516,51
/tools,fast,0.9304,20
/tools,balanced,0.8164,20
/tools,powerful,0.5951,20
Got it,fast,0.9076,85
Got it,balanced,0.829,85
Got it,powerful,0.7475,85
Show stash list,fast,0.9239,26
Show stash list,balanced,0.709,26
Show stash list,powerful,0.74,26
Show system status,fast,0.9732,23
Show system status,balanced,0.7312,23
Show system status,powerful,0.5528,23
Is the database connected?,fast,0.8606,12
Is the database connected?,balanced,0.736,12
Is the database connected?,powerful,0.638,12
Show git status,fast,0.8503,22
Show git status,balanced,0.7676,22
Show git status,powerful,0.6485,22
Is there anything to push?,fast,0.8542,83
Is there anything to push?,balanced,0.7432,83
Is there anything to push?,powerful,0.5707,83
"Yes, proceed",fast,0.909,37
"Yes, proceed",balanced,0.8031,37
"Yes, proceed",powerful,0.731,37
/tools,fast,0.9529,20
/tools,balanced,0.7885,20
/tools,powerful,0.701,20
List recent commits,fast,0.9053,35
List recent commits,balanced,0.7817,35
List recent commits,powerful,0.6619,35
Got it,fast,0.8845,85
Got it,balanced,0.7213,85
Got it,powerful,0.5149,85
/tools,fast,0.89,20
/tools,balanced,0.8123,20
/tools,powerful,0.6423,20
Is there anything to push?,fast,0.9071,83
Is there anything to push?,balanced,0.7703,83
Is there anything to push?,powerful,0.576,83
What's the file size of .env?,fast,0.9151,86
What's the file size of .env?,balanced,0.7741,86
What's the file size of .env?,powerful,0.5201,86
Show me the current sessions status,fast,0.9455,87
Show me the current sessions status,balanced,0.7906,87
Show me the current sessions status,powerful,0.5065,87
Are there uncommitted changes?,fast,0.975,3
Are there uncommitted changes?,balanced,0.8254,3
Are there uncommitted changes?,powerful,0.6438,3
"Perfect, thanks",fast,0.8527,27
"Perfect, thanks",balanced,0.8147,27
"Perfect, thanks",powerful,0.7054,27
Can I use authentication in Node 20?,fast,0.9112,88
Can I use authentication in Node 20?,balanced,0.7977,88
Can I use authentication in Node 20?,powerful,0.729,88
What branch am I on?,fast,0.9796,63
What branch am I on?,balanced,0.7654,63
What branch am I on?,powerful,0.7036,63
List active tasks,fast,0.9111,2
List active tasks,balanced,0.7613,2
List active tasks,powerful,0.5803,2
Show system status,fast,0.9615,23
Show system status,balanced,0.7495,23
Show system status,powerful,0.6734,23
Is there anything to push?,fast,0.9361,83
Is there anything to push?,balanced,0.7601,83
Is there anything to push?,powerful,0.6901,83
Show me the current sessions status,fast,0.8614,87
Show me the current sessions status,balanced,0.7379,87
Show me the current sessions status,powerful,0.529,87
/status,fast,0.9025,53
/status,balanced,0.7772,53
/status,powerful,0.747,53
Is the database connected?,fast,0.963,12
Is the database connected?,balanced,0.7693,12
Is the database connected?,powerful,0.5136,12
Where is {config} stored?,fast,0.897,30
Where is {config} stored?,balanced,0.8135,30
Where is {config} stored?,powerful,0.6564,30
/help,fast,0.8567,19
/help,balanced,0.7401,19
/help,powerful,0.5328,19
Is there anything to push?,fast,0.907,83
Is there anything to push?,balanced,0.8047,83
Is there anything to push?,powerful,0.5304,83
Is this a breaking change?,fast,0.9292,0
Is this a breaking change?,balanced,0.7359,0
Is this a breaking change?,powerful,0.5396,0
What version of numpy is installed?,fast,0.9218,89
What version of numpy is installed?,balanced,0.714,89
What version of numpy is installed?,powerful,0.7481,89
Got it,fast,0.8647,85
Got it,balanced,0.8421,85
Got it,powerful,0.6619,85
Are there any errors in the logs?,fast,0.9148,75
Are there any errors in the logs?,balanced,0.8075,75
Are there any errors in the logs?,powerful,0.6272,75
What files changed?,fast,0.904,5
What files changed?,balanced,0.7724,5
What files changed?,powerful,0.6181,5
What is context manager?,fast,0.8688,90
What is context manager?,balanced,0.7286,90
What is context manager?,powerful,0.6498,90
How many bytes in kilobytes?,fast,0.8859,91
How many bytes in kilobytes?,balanced,0.8185,91
How many bytes in kilobytes?,powerful,0.6037,91
Okay,fast,0.9524,8
Okay,balanced,0.7401,8
Okay,powerful,0.5006,8
Calculate 25% of 500,fast,0.9254,92
Calculate 25% of 500,balanced,0.799,92
Calculate 25% of 500,powerful,0.7163,92
What does CORS stand for?,fast,0.913,93
What does CORS stand for?,balanced,0.7499,93
What does CORS stand for?,powerful,0.6907,93
Read prometheus.yml,fast,0.9713,94
Read prometheus.yml,balanced,0.8304,94
Read prometheus.yml,powerful,0.7452,94
List all branches,fast,0.9243,51
List all branches,balanced,0.735,51
List all branches,powerful,0.6939,51
Show me the current memories status,fast,0.9468,95
Show me the current memories status,balanced,0.8058,95
Show me the current memories status,powerful,0.7029,95
Read settings.py,fast,0.9144,96
Read settings.py,balanced,0.7056,96
Read settings.py,powerful,0.6256,96
Is {option} enabled?,fast,0.8932,42
Is {option} enabled?,balanced,0.7151,42
Is {option} enabled?,powerful,0.7113,42
Show system status,fast,0.9184,23
Show system status,balanced,0.7685,23
Show system status,powerful,0.6806,23
When was requirements.txt last modified?,fast,0.9761,97
When was requirements.txt last modified?,balanced,0.7112,97
When was requirements.txt last modified?,powerful,0.6954,97
Show git diff,fast,0.894,7
Show git diff,balanced,0.8039,7
Show git diff,powerful,0.6625,7
Confirm deployment to development,fast,0.9608,98
Confirm deployment to development,balanced,0.8289,98
Confirm deployment to development,powerful,0.595,98
Does requirements.txt exist?,fast,0.9434,99
Does requirements.txt exist?,balanced,0.8139,99
Does requirements.txt exist?,powerful,0.7181,99
Show me the current agents status,fast,0.8589,100
Show me the current agents status,balanced,0.7947,100
Show me the current agents status,powerful,0.7302,100
Are there uncommitted changes?,fast,0.9471,3
Are there uncommitted changes?,balanced,0.7651,3
Are there uncommitted changes?,powerful,0.5246,3
Is this a breaking change?,fast,0.9415,0
Is this a breaking change?,balanced,0.7151,0
Is this a breaking change?,powerful,0.5416,0
Show stash list,fast,0.9674,26
Show stash list,balanced,0.7069,26
Show stash list,powerful,0.699,26
Is there anything to push?,fast,0.8966,83
Is there anything to push?,balanced,0.7646,83
Is there anything to push?,powerful,0.561,83
When was docker-compose.yml last modified?,fast,0.9386,101
When was docker-compose.yml last modified?,balanced,0.727,101
When was docker-compose.yml last modified?,powerful,0.5438,101
Should I commit these changes?,fast,0.9632,9
Should I commit these changes?,balanced,0.793,9
Should I commit these changes?,powerful,0.5602,9
Got it,fast,0.9258,85
Got it,balanced,0.7348,85
Got it,powerful,0.6595,85
What is ORM?,fast,0.9367,40
What is ORM?,balanced,0.8348,40
What is ORM?,powerful,0.6163,40
Is there anything to push?,fast,0.9381,83
Is there anything to push?,balanced,0.7237,83
Is there anything to push?,powerful,0.6104,83
List files in ./services,fast,0.9331,79
List files in ./services,balanced,0.7636,79
List files in ./services,powerful,0.5625,79
Confirm deployment to development,fast,0.8759,98
Confirm deployment to development,balanced,0.7577,98
Confirm deployment to development,powerful,0.6208,98
List all branches,fast,0.8996,51
List all branches,balanced,0.7538,51
List all branches,powerful,0.574,51
Convert 1024 MB to Fahrenheit,fast,0.9015,102
Convert 1024 MB to Fahrenheit,balanced,0.7012,102
Convert 1024 MB to Fahrenheit,powerful,0.7163,102
/status,fast,0.9468,53
/status,balanced,0.7074,53
/status,powerful,0.6516,53
What's the port for nginx?,fast,0.9508,103
What's the port for nginx?,balanced,0.7345,103
What's the port for nginx?,powerful,0.7005,103
Are there uncommitted changes?,fast,0.9328,3
Are there uncommitted changes?,balanced,0.7931,3
Are there uncommitted changes?,powerful,0.6694,3
Calculate 50% of 500,fast,0.959,34
Calculate 50% of 500,balanced,0.7942,34
Calculate 50% of 500,powerful,0.7259,34
Are the tests passing?,fast,0.8551,4
Are the tests passing?,balanced,0.8183,4
Are the tests passing?,powerful,0.5083,4
Show me index.ts,fast,0.8617,18
Show me index.ts,balanced,0.7443,18
Show me index.ts,powerful,0.6869,18
What branch am I on?,fast,0.8761,63
What branch am I on?,balanced,0.818,63
What branch am I on?,powerful,0.7191,63
Show me nginx.conf,fast,0.9152,104
Show me nginx.conf,balanced,0.7409,104
Show me nginx.conf,powerful,0.5411,104
Got it,fast,0.9572,85
Got it,balanced,0.7723,85
Got it,powerful,0.7016,85
How many seconds in kilobytes?,fast,0.9109,105
How many seconds in kilobytes?,balanced,0.7113,105
How many seconds in kilobytes?,powerful,0.6885,105
